978-2-266-17068-0;pierre de l'adieu (La);;Williams;Tad;;;Pocket;2006;442 p.;18 x 11 cm;Adulte;18,639231295521
978-2-266-17442-8;extraordinaires aventures de Tom Scatterhorn (Les);;Chancellor;Henry;;;Pocket Jeunesse;2011;1 vol. (400 p.);23 x 14 cm;Jeunesse;42,1514154734281
978-2-266-18868-5;Balade pour un père oublié;;Teulé;Jean;;;Pocket;impr. 2009;1 vol. (158 p.);18 cm;Adulte;35,6678016654909
978-2-278-06477-9;vaches de Noël (Les);;Le Touzé;Anne-Isabelle;;;Didier Jeunesse;2009;;26 x 24 cm;Jeunesse;40,635669325023
978-2-283-02890-2;tournée d'adieux (La);roman;Paris;Thomas;;;Buchet-Chastel;DL 2015;1 vol. (189 p.);19 cm;Adulte;45,2702048768232
978-2-330-04818-1;I like Europe;paroles d'une génération de Porto à Riga;Gillet;Caroline;Fontaine;Amélie;Actes Sud junior;DL 2015;1 vol. (71 p.);23 cm;Jeunesse;38,2561030864396
978-2-330-05318-5;source (La);roman;Garat;Anne-Marie;;;Actes Sud;DL 2015;1 vol. (378 p.);24 cm;Adulte;20,0470270998619
978-2-330-05334-5;Crash-test;roman;Claro;;;;Actes Sud;DL 2015;1 vol. (228 p.);22 cm;Adulte;59,5246615136907
978-2-330-05360-4;Ah ! Ca ira;roman;Lachaud;Denis;;;Actes Sud;DL 2015;1 vol. (426 p.);22 cm;Adulte;63,7429039273967
978-2-35000-585-0;fables de La Fontaine pour réfléchir (Les);;Pelisse;Laetitia;Mazzari;Mauro;Oskar jeunesse;DL 2010;1 vol. (59 p.);23 cm;Jeunesse;44,6273052152152
978-2-35294-848-3;enchantements d'Ambremer (Les);;Pevel;Pierre;;;Bragelonne;DL 2015;1 vol. (381 p.);22 cm;Adulte;64,4860064192172
978-2-35294-849-0;élixir d'oubli (L');;Pevel;Pierre;;;Bragelonne;DL 2015;1 vol. (378 p.);22 cm;Adulte;59,5083249637048
978-2-35294-850-6;royaume immobile (Le);;Pevel;Pierre;;;Bragelonne;DL 2015;1 vol. (376 p.);22 cm;Adulte;71,5197205730985
978-2-35488-135-1;Marie Curie, une femme de science;;Grard;Françoise;;;Gulf stream éd.;DL 2011;1 vol. (53 p.);29 cm;Jeunesse;30,6635631961128
978-2-35504-169-3;Je m'appelle pas Ben Laden !;;Chambaz;Bernard;;;Rue du monde;impr. 2011;1 vol. (37 p.);27 cm;Jeunesse;45,7488428289575
978-2-35949-434-1;échoués (Les);;Manoukian;Pascal;;;Don Quichotte éditions;DL 2015;1 vol. (297 p.);21 cm;Adulte;68,8818747385422
978-2-35965-037-2;Dans la cuisine d'Amandine;;Carboneill;Bénédicte;;;Petites vagues éd.;DL 2011;1 vol. (59 p.);21 cm;Jeunesse;5,34168330574228
978-2-36219-032-2;Etre hôtesse de l'air ou steward;;Barnier;Louis-Marie;;;Lieux dits éd.;DL 2011;1 vol. (95 p.);21 cm;Jeunesse;39,7614109245261
978-2-36219-033-9;Etre militaire dans l'armée de terre;;Jakubowski;Sébastien;Weber;Claude;Lieux dits éd.;DL 2011;1 vol. (135 p.);21 cm;Jeunesse;59,4749822384017
978-2-36221-146-1;La cuisine des héros;;Major;Lenia;;;Ed. Mic-Mac;DL 2011;1 vol. (46 p.);33 cm;Jeunesse;78,2363705187935
978-2-36221-147-8;La cuisine des héroïnes;;Major;Lenia;;;Ed. Mic-Mac;DL 2011;1 vol. (46 p.);33 cm;Jeunesse;18,2393586298044
978-2-36231-035-5;Quand on parle du loup;;Harrison;Lisi;;;Castelmore;impr. 2011;1 vol. (308 p.);22 cm;Jeunesse;77,284977538279
978-2-36242-054-2;Mémoires des failles;;Annocque;Philippe;;;Editions de l'Attente;DL 2015;1 vol. (228 p.);20 cm;Adulte;77,3265382514779
