978-2-7404-2798-9,Petite boîte jaune,un livre pop-up sur les contraires,Carter,David A.,,,Mango jeunesse,DL 2010,Jeunesse
978-2-211-09726-0,Le jour où nous étions seuls au monde,,Nilsson,Ulf,,,Pastel,DL 2009,Jeunesse
978-2-35289-052-2,Au lit !,,Cumont,Louise-Marie,,,MeMo,impr. 2009,Jeunesse
978-2-211-09711-6,Guili guili,,Poussier,Audrey,,,Loulou & Cie-l'Ecole des loisirs,DL 2009,Jeunesse
978-2-211-09713-0,Le plus beau,,Poussier,Audrey,,,Loulou & Cie-l'Ecole des loisirs,DL 2009,Jeunesse
978-2-85181-747-1,Guitou,,Melquiot,Fabrice,,,l'Arche,impr. 2011,Jeunesse
978-2-03-584660-0,La fin des dinosaures,,Bacchin,Matteo,Signore,Marco,Larousse,impr. 2010,Jeunesse
978-2-35488-135-1,"Marie Curie, une femme de science",,Grard,Françoise,,,Gulf stream éd.,DL 2011,Jeunesse
978-2-211-08134-4,En 2000 trop loin,,Rascal,,,,Pastel,DL 2009,Jeunesse
978-2-35488-135-1,"Marie Curie, une femme de science",,Grard,Françoise,,,Gulf stream éd.,DL 2011,Jeunesse
978-2-01-292114-6,Dis pourquoi le cochon a la queue en tire-bouchon ?,,Mathivet,Eric,,,Hachette jeunesse,DL 2011,Jeunesse
978-2-278-06477-9,vaches de Noël (Les),,Le Touzé,Anne-Isabelle,,,Didier Jeunesse,2009,Jeunesse
978-2-84006-642-2,Les tartes et les cakes,22 recettes d'enfants,Teyras,Emmanuelle,,,Mila éd.,DL 2011,Jeunesse
978-2-917289-21-1,Une vie merveilleuse,,Pigois,Melissa,,,Ed. Belize,DL 2009,Jeunesse
978-2-7324-4525-0,Je mesure tout,,Trius,Mireia,,,La Martinière jeunesse,impr. 2011,Jeunesse
978-2-7467-1289-8,Un petit trou de rien du tout,,Pin,Isabelle,,,Autrement,DL 2009,Jeunesse
978-2-7467-1293-5,Mon chien et moi,,Yamada,Keita,,,Autrement jeunesse,DL 2009,Jeunesse
978-2-87767-641-0,La boîte au trésor,,Escoffier,Michaël,Thuillier,Eléonore,Kaléidoscope,DL 2009,Jeunesse
978-2-7404-2556-5,Ce que fait toujours le vrai Père Noël,,Teyras,Emmanuelle,Poisot,Maxime,Mango jeunesse,impr. 2009,Jeunesse
978-2-7470-2450-1,kilos en trop (Les),,Sautereau,François,,,Bayard Jeunesse,2008,Jeunesse
