978-2-08-134792-2;carnaval des hyènes (Le);;Mention;Michaël;;;Ombres noires;DL 2015;1 vol. (220 p.);21 cm;Adulte;53,5261967810711;https://www.babelio.com/couv/CVT_Le-carnaval-des-hyenes_334.jpeg;
978-2-08-134821-9;Il était une ville;roman;Reverdy;Thomas B.;;;Flammarion;DL 2015;1 vol. (269 p.);21 cm;Adulte;26,6888063023533;https://www.babelio.com/couv/bm_CVT_Il-etait-une-ville_7880.jpg;
978-2-08-137054-8;renversement des pôles (Le);roman;Côte;Nathalie;;;Flammarion;DL 2015;1 vol. (189 p.);21 cm;Adulte;29,958995878179;https://images-na.ssl-images-amazon.com/images/I/71Ii3YlOmrL.jpg;
978-2-08-137244-3;Vladimir Vladimirovitch;roman;Chambaz;Bernard;;;Flammarion;DL 2015;1 vol. (373 p.);21 cm;Adulte;32,5836411153417;https://editions.flammarion.com/media/cache/couverture_large/flammarion_img/Couvertures/9782081372443.jpg;
978-2-09-252554-8;Toutes mes histoires préférées;;Caputo;Natha;Bryant;Sara Cone;Nathan;DL 2009;1 vol. (121 p.);22 cm;Jeunesse;54,0366112446699;https://www.lalibrairie.com/cache/img/livres/548/9782092525548.webp;
978-2-203-02864-7;Ernest et Célestine au musée;;Vincent;Gabrielle;;;Casterman;2010;1 vol. (32 p.);29 x 25 cm;Jeunesse;36,2145465984607;https://images-na.ssl-images-amazon.com/images/I/816ScHq4mQL.jpg;
978-2-203-04011-3;Ernest et Célestine au cirque;;Vincent;Gabrielle;;;Casterman;2011;1 vol. (26 p.);25 x 29 cm;Jeunesse;5,42077263154384;https://fr.shopping.rakuten.com/photo/Vincent-Gabrielle-Ernest-Et-Celestine-Au-Cirque-Livre-835660991_L.jpg;
978-2-203-04013-7;jour, un chien (Un);;Vincent;Gabrielle;;;Casterman;2011;1 vol. (64 p.);20 x 27 cm;Jeunesse;12,2289514881063;https://static.fnac-static.com/multimedia/Images/FR/NR/f5/be/1c/1883893/1540-1/tsp20220412061829/Un-jour-un-chien.jpg;
978-2-211-08134-4;En 2000 trop loin;;Rascal;;;;Pastel;DL 2009;1 vol. (28 p.);27 cm;Jeunesse;36,0345137974892;https://www.ecoledesloisirs.fr/sites/default/files/styles/couverture_livre/public/couverture/9782211081344.jpg?itok=ajXDjI4q;
978-2-211-09368-2;Voleuse de peluche;;Seyvos;Florence;;;Ecole des loisirs;2008;1 vol. (75 p.);19 x 13 cm;Jeunesse;14,8169653918482;https://fr.shopping.rakuten.com/photo/770760426.jpg;
978-2-211-09722-2;10 feuilles volantes;;Möller;Anne;;;Archimède-l'Ecole des loisirs;impr. 2009;1 vol. (29 p.);29 cm;Jeunesse;73,8468027708018;https://www.ecoledesloisirs.fr/sites/default/files/styles/couverture_livre/public/couverture/9782211097222.jpg?itok=2zNMNE7O;
978-2-211-20466-8;erreur de Pascal (L');;Seyvos;Florence;;;Ecole des loisirs;2011;1 vol. (76 p.);19 x 13 cm;Jeunesse;14,2594614414623;https://www.ecoledesloisirs.fr/sites/default/files/styles/couverture_livre/public/couverture/9782211204668.jpg?itok=U3di64FV;
978-2-211-20802-4;Ogres, brigands et compagnie;;Ungerer;Tomi;Ungerer;Tomi;l'Ecole des loisirs;DL 2011;1 vol. (148 p.);29 cm;Jeunesse;77,473701097379;https://images-na.ssl-images-amazon.com/images/I/41SnvJJAEPL.jpg;
978-2-213-63700-6;Le fol enfant;récit;Vlady;Marina;;;Fayard;impr. 2009;1 vol. (155 p.);19 cm;Adulte;48,1668029406904;https://images-na.ssl-images-amazon.com/images/I/510SeFiZFYL._SX298_BO1,204,203,200_.jpg;
978-2-213-68661-5;uns contre les autres (Les);roman;Maubert;Franck;;;Fayard;DL 2015;1 vol. (213 p.);22 cm;Adulte;53,9480119586849;https://static1.lecteurs.com/media/cache/book_large/files/books-covers/615/9782213686615_1_75.jpg;
978-2-213-68702-5;Effraction;roman;Defossé;Alain;;;Fayard;DL 2015;1 vol. (196 p.);22 cm;Adulte;74,8402397387182;https://www.fayard.fr/sites/default/files/images/livres/couv/9782213687025-T.jpg;
978-2-220-06105-4;La confusion des valeurs;;Guillebaud;Jean-Claude;;;Desclée de Brouwer;impr. 2009;1 vol. (274 p.);21 cm;Adulte;75,6488309388356;https://static.fnac-static.com/multimedia/images_produits/ZoomPE/4/5/0/9782220061054/tsp20130903072430/La-confusion-des-valeurs.jpg;
978-2-226-17383-6;Shrek !;le livre qui inspira le film;Steig;William;;;Albin Michel-Jeunesse;2007;1 vol. (32 p.);30 x 23 cm;Jeunesse;28,6564044532764;https://images-na.ssl-images-amazon.com/images/I/81KKYaMQs6L.jpg;
978-2-226-18772-7;Je viens de toutes mes enfances;;Salomé;Jacques;;;Albin Michel;impr. 2009;1 vol. (308 p.);23 cm;Adulte;37,6173579117767;https://images-na.ssl-images-amazon.com/images/I/51zSFx7ORhL._SX307_BO1,204,203,200_.jpg;
978-2-226-19001-7;Tout pour plaire et toujours célibataire;rencontrer l'amour;Cadalen;Sophie;Guillou;Sophie;Albin Michel;impr. 2009;1 vol. (201p.);23 cm;Adulte;25,2642721014046;https://static.fnac-static.com/multimedia/images_produits/ZoomPE/7/1/0/9782226190017/tsp20130901132456/Tout-pour-plaire-et-toujours-celibataire.jpg;
978-2-226-19245-5;Sauver sa peau;roman;Gardner;Lisa;;;Albin Michel;impr. 2009;1 vol. (418 p.);23 cm;Adulte;13,2234476738071;https://www.livredepoche.com/sites/default/files/images/livres/couv/9782253161226-001-T.jpeg;
978-2-226-19402-2;Le miroir de Cassandre;roman;Werber;Bernard;;;Albin Michel;impr. 2009;1 vol. (632 p.);24 cm;Adulte;67,3751252918601;https://images-na.ssl-images-amazon.com/images/I/81WK6bQkjfL.jpg;
978-2-226-20937-5;étang aux libellules (L');;Ibbotson;Eva;;;Albin Michel-Jeunesse;2011;1 vol. (456 p.);22 x 15 cm;Jeunesse;35,5280517127154;https://www.albin-michel.fr/sites/default/files/couvertures/9782226209375-j.jpg;
978-2-234-06230-6;Dis oui, Ninon;roman;Lethielleux;Maud;;;Stock;impr. 2009;1 vol. (247 p.);22 cm;Adulte;27,0293955559217;https://images-na.ssl-images-amazon.com/images/I/31juKoePfML._SX210_.jpg;"Dans ma classe, une immense dame maigre et très laide avec des cheveux courts et des gros sourcils m'a demandé de recopier le mot écrit au tableau. J'ai essayé d'imiter les traits droits comme du blé un jour sans vent, c'était très difficile, mes doigts glissaient sur la mine colorée. La dame s'est approchée et elle a dit : Mon Dieu ! J'ai dit que j'étais pas Dieu mais que si elle voulait m'appeler comme ça, pourquoi pas. Elle a répété : - Mon Dieu... Tu ne sais même pas écrire "" maman "" ? - Non, ça sert à rien que je l'écris puisque je dis jamais maman. - Tu... tu ne dis jamais maman ! - Non, je l'appelle Zélie parce que c'est trop mignon et en plus c'est personnel et assumé pour de vrai. La dame m'a dit de ne pas parler sur ce ton, j'ai répondu que je ne mangeais pas de poisson parce que sinon, on allait vider la mer. "" Du haut de ses neuf ans, Ninon observe le monde. Un monde où les adultes ne s'aiment plus, où les mots n'ont pas de sens, où les mensonges sont rancuniers... Parce qu'elle ne le comprend pas, Ninon décide de s'en détourner et de vivre avec son père qui n'a plus rien. Rien, sauf elle. Ensemble, ils refont leur monde, construisent une maison à partir de rien, traient les chèvres, vendent sur les marchés, oublient l'école et les bonnes manières, sans se soucier des bien-pensants, ni de madame Kaffe, l'assistante sociale. Dis oui, Ninon est une histoire d'amour. Celle d'une petite fille pour son père et celle d'un homme pour la liberté."
978-2-246-77601-7;septième fonction du langage (La);roman;Binet;Laurent;;;Bernard Grasset;DL 2015;1 vol. (494 p.);21 cm;Adulte;64,6125211964418;https://www.grasset.fr/sites/default/files/images/livres/couv/9782246776017-001-T.jpeg;La Septième Fonction du langage est un roman de Laurent Binet paru le 18 août 2015 aux éditions Grasset. Le livre reçoit la même année le prix du roman Fnac ainsi que le prix Interallié.
